,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
97,block,8,14,True,True,5.171145012542267,4.0,two-sided,0.006646731211396016,0.7976077453675219,bonf,9.472,1.1409211855075239
98,block,8,15,True,True,2.513974130844283,4.0,two-sided,0.06577791748436883,1.0,bonf,1.827,0.9746165431808342
99,block,9,10,True,True,2.30039790693276,4.0,two-sided,0.0829027421367822,1.0,bonf,1.552,0.45349297917186016
100,block,9,11,True,True,2.8879794895246222,4.0,two-sided,0.04465344976883752,1.0,bonf,2.405,0.6273756897931584
101,block,9,12,True,True,2.022754721558315,4.0,two-sided,0.11314214593661942,1.0,bonf,1.25,0.7061517850530602
102,block,9,13,True,True,1.2984341011398768,4.0,two-sided,0.2639386567509885,1.0,bonf,0.711,0.38822251012794623
103,block,9,14,True,True,2.713602101199873,4.0,two-sided,0.05333826104568898,1.0,bonf,2.119,0.9803981784980199
104,block,9,15,True,True,1.8694335353050486,4.0,two-sided,0.13491948547639757,1.0,bonf,1.107,0.8936367298425159
105,block,10,11,True,True,0.21979589889100545,4.0,two-sided,0.836791428300287,1.0,bonf,0.406,0.06053446883862121
106,block,10,12,True,True,0.3396958694925238,4.0,two-sided,0.7511729210107703,1.0,bonf,0.417,0.11643721576425671
107,block,10,13,True,True,-0.4533886365452686,4.0,two-sided,0.6737761165094966,1.0,bonf,0.432,-0.18435736963838578
108,block,10,14,True,True,0.5581453134917339,4.0,two-sided,0.6065087057428802,1.0,bonf,0.451,0.230101881960397
109,block,10,15,True,True,0.7426507078469896,4.0,two-sided,0.498938293364994,1.0,bonf,0.493,0.36054791673056097
110,block,11,12,True,True,0.23043426072972592,4.0,two-sided,0.8290599113621183,1.0,bonf,0.406,0.0669648342186048
111,block,11,13,True,True,-1.0319896317812522,4.0,two-sided,0.36038572019597087,1.0,bonf,0.589,-0.3140078657429603
112,block,11,14,True,True,0.6446583712203044,4.0,two-sided,0.5542579947169398,1.0,bonf,0.469,0.2081578535953422
113,block,11,15,True,True,0.8304032372431123,4.0,two-sided,0.45299948380468236,1.0,bonf,0.518,0.3535911920220412
114,block,12,13,True,True,-1.3597413116600425,4.0,two-sided,0.2455091210521344,1.0,bonf,0.745,-0.3957579713397953
115,block,12,14,True,True,0.7000400658745758,4.0,two-sided,0.5224776562289237,1.0,bonf,0.482,0.131747383835681
116,block,12,15,True,True,1.2418408411301323,4.0,two-sided,0.28213534548563024,1.0,bonf,0.682,0.30024189886582486
117,block,13,14,True,True,3.0456785458185984,4.0,two-sided,0.0381893287640659,1.0,bonf,2.689,0.6518740743551751
118,block,13,15,True,True,1.993954443500129,4.0,two-sided,0.11692109486099397,1.0,bonf,1.222,0.6444992616549446
119,block,14,15,True,True,0.7513828172318131,4.0,two-sided,0.49421346234151164,1.0,bonf,0.496,0.23243259347426942
